,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59
S33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.97,0.14,-,0.02,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.85,0.03,0.0,0.0,0.0,0.0,1.0,1.0,0.88,0.01,0.0,0.0,1.0,1.0,0.3,0.0,0.0
S34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,0.97,0.98,-,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.94,0.01,0.0,0.0,0.0,1.0,1.0,1.0,0.31,0.18,0.07,1.0,1.0,0.99,0.25,0.18
S35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12,1.0,1.0,0.98,0.97,0.5,-,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.92,0.12,0.0,0.0,0.0,1.0,1.0,1.0,0.35,0.31,0.2,1.0,1.0,0.97,0.29,0.27
S36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33,1.0,1.0,0.99,1.0,1.0,1.0,-,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.35,0.0,0.0,0.0,1.0,1.0,1.0,0.96,0.85,0.55,1.0,1.0,1.0,0.8,0.65
S37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33,0.0,0.0,0.0,1.0,1.0,1.0,0.96,0.85,0.58,1.0,1.0,1.0,0.75,0.67
S38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.0,0.0,0.0,1.0,1.0,1.0,0.99,0.97,0.68,1.0,1.0,1.0,0.93,0.67
S39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,0.0,1.0,1.0,1.0,1.0,0.65,0.0,0.0,0.0,1.0,1.0,1.0,0.99,0.98,0.68,1.0,1.0,1.0,0.88,0.65
S40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,1.0,1.0,1.0,1.0,0.67,0.0,0.0,0.0,1.0,1.0,1.0,0.99,0.97,0.68,1.0,1.0,1.0,0.89,0.64
S41,0.91,1.0,1.0,1.0,0.98,0.95,0.96,0.91,0.88,0.9,0.91,0.91,1.0,1.0,1.0,0.98,0.94,0.92,0.93,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.94,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
S42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.72,0.05,0.0,0.0,0.0,1.0,0.73,0.0,0.0,0.0
