Scenario 1
Vs. 137: 0.0
Vs. 138: 1.0
Vs. 139: 1.0
Vs. 140: 0.99
Vs. 141: 0.67
Vs. 142: 0.0
Vs. 143: 1.0
Vs. 144: 1.0
Vs. 145: 0.0
Vs. 146: 0.0
Vs. 147: 0.0
Vs. 148: 0.0
Vs. 149: 0.0
Vs. 150: 0.0
Vs. 151: 0.0
Vs. 152: 0.0
Vs. 153: 0.0
Vs. 154: 0.0
Vs. 155: 0.0
Vs. 156: 0.0
Vs. 157: 0.0
Vs. 158: 0.0
Vs. 159: 0.01
Vs. 160: 0.0
Vs. 161: 0.0
Vs. 162: 0.0
Vs. 163: 0.0
Vs. 164: 0.0
Vs. 165: 0.0
Vs. 166: 0.0
Vs. 167: 1.0
Vs. 168: 0.0
Vs. 169: 0.0
Vs. 170: 0.0
Vs. 171: 0.0
Vs. 172: 0.0
Vs. 173: 1.0
Vs. 174: 0.0
Vs. 175: 0.0
Vs. 176: 0.0
Vs. 177: 0.0
Scenario 7
Vs. 8: 0.0
Vs. 9: 0.0
Vs. 10: 0.0
Vs. 11: 0.0
Vs. 12: 0.0
Vs. 13: 1.0
Vs. 14: 1.0
Vs. 15: 1.0
Vs. 16: 0.62
Vs. 17: 0.03
Vs. 18: 0.0
Vs. 19: 0.0
Vs. 20: 1.0
Vs. 21: 1.0
Vs. 22: 1.0
Vs. 23: 0.89
Vs. 24: 0.0
Vs. 25: 1.0
Vs. 26: 1.0
Vs. 27: 0.18
Vs. 28: 0.03
Vs. 29: 0.0
Vs. 30: 0.0
Vs. 31: 0.0
Vs. 32: 0.0
Vs. 33: 0.0
Vs. 34: 0.0
Vs. 35: 0.0
Vs. 36: 0.0
Vs. 37: 0.0
Vs. 38: 0.0
Vs. 39: 0.0
Vs. 40: 0.0
Vs. 41: 0.09
Vs. 42: 0.0
Vs. 43: 0.0
Vs. 44: 0.0
Vs. 45: 0.0
Vs. 46: 0.0
Vs. 47: 0.0
Vs. 48: 0.0
Vs. 49: 1.0
Vs. 50: 0.0
Vs. 51: 0.0
Vs. 52: 0.0
Vs. 53: 0.0
Vs. 54: 0.0
Vs. 55: 1.0
Vs. 56: 0.0
Vs. 57: 0.0
Vs. 58: 0.0
Vs. 59: 0.0
Vs. 60: 0.0
Vs. 61: 1.0
Vs. 62: 1.0
Vs. 63: 1.0
Vs. 64: 1.0
Vs. 65: 0.91
Vs. 66: 0.0
Vs. 67: 0.0
Vs. 68: 0.0
Vs. 69: 0.0
Vs. 70: 0.0
Vs. 71: 0.0
Vs. 72: 1.0
Vs. 73: 1.0
Vs. 74: 1.0
Vs. 75: 0.6
Vs. 76: 0.03
Vs. 77: 0.0
Vs. 78: 0.0
Vs. 79: 1.0
Vs. 80: 1.0
Vs. 81: 1.0
Vs. 82: 0.84
